"Questions", "Answers"
"What is the capital of Turkey?","Ankara"
"Where was Ataturk born?","Selanik"
"Which is bigger, a lake or an ocean?","Ocean"
"Which country has the most people?","China"
"Which country has the biggest land area?","Russia"
"In which ocean is Hawaii?","Pacific"
"What is the most popular indoor sport in the U.S.A.?","Basketball"
"Which team won the 2003 Formula One car racing championship?","Ferrari"
"Who developed the theory of evolution by natural selection?","Charles Darwin"
"What nationality was Mozart?","Austrian"
